status,primary_keyword,intent,volume_est,difficulty,target_url,cluster,notes
unused,temperament test free,informational,high,medium,/temperament.html,temperament,High intent — people actively looking for this
unused,sanguine temperament meaning,informational,medium,low,/blog/sanguine-temperament-meaning.html,temperament,WRITTEN
unused,choleric temperament,informational,medium,low,/blog/choleric-temperament-guide.html,temperament,NOT WRITTEN YET
unused,melancholic personality traits,informational,medium,low,/blog/melancholic-temperament-explained.html,temperament,NOT WRITTEN YET
unused,phlegmatic personality,informational,medium,low,/blog/phlegmatic-temperament-hidden-strength.html,temperament,NOT WRITTEN YET
unused,sanguine choleric blend,informational,low,low,/blog/sanguine-choleric-blend.html,temperament,NOT WRITTEN YET
unused,what is my temperament,informational,high,medium,/temperament.html,temperament,Tool page target
unused,personality test free online,informational,very_high,very_high,/knowthyself.html,personality,Competitive — needs domain authority
unused,big five personality test,informational,high,high,/knowthyself.html,personality,Competitive
unused,conviction personality dimension,informational,low,very_low,/blog/conviction-dimension-explained.html,personality,WRITTEN — own unique territory
unused,high openness personality,informational,medium,low,/blog/high-openness-score-meaning.html,personality,NOT WRITTEN YET
unused,low conscientiousness score,informational,low,low,/blog/low-conscientiousness-score.html,personality,NOT WRITTEN YET
unused,what is a good EQ score,informational,medium,low,/blog/what-is-a-good-eq-score.html,eq,WRITTEN
unused,emotional intelligence test free,informational,high,high,/eq.html,eq,Competitive — tool page
unused,low self awareness signs,informational,medium,low,/blog/low-self-awareness-score.html,eq,NOT WRITTEN YET
unused,self regulation emotional intelligence,informational,medium,low,/blog/self-regulation-eq-score.html,eq,NOT WRITTEN YET
unused,high empathy low boundaries,informational,medium,very_low,/blog/high-empathy-low-boundaries.html,eq,NOT WRITTEN YET
unused,money mindset test,informational,medium,low,/moneymindset.html,money,Tool page target
unused,guardian money archetype,informational,low,very_low,/blog/guardian-money-archetype.html,money,WRITTEN — own territory
unused,builder money archetype,informational,low,very_low,/blog/builder-money-archetype.html,money,NOT WRITTEN YET
unused,money mindset quiz,informational,medium,medium,/moneymindset.html,money,Tool page target
unused,visionary money archetype,informational,low,very_low,/blog/visionary-money-archetype.html,money,NOT WRITTEN YET
unused,relationship style quiz,informational,medium,medium,/relationshipstyle.html,relationships,Tool page target
unused,anxious attachment style test,informational,high,medium,/relationshipstyle.html,relationships,High intent
unused,anxious attachment score meaning,informational,medium,low,/blog/anxious-attachment-score-meaning.html,relationships,WRITTEN
unused,avoidant attachment quiz,informational,medium,medium,/blog/avoidant-attachment-score.html,relationships,NOT WRITTEN YET
unused,love language test free,informational,very_high,very_high,/relationshipstyle.html,relationships,Very competitive
unused,leadership assessment free,informational,high,high,/leadership.html,leadership,Tool page target
unused,leadership score meaning,informational,low,low,/blog/leadership-score-interpretation.html,leadership,NOT WRITTEN YET
unused,low delegation leadership,informational,low,very_low,/blog/low-delegation-score.html,leadership,WRITTEN
unused,career readiness assessment,informational,medium,medium,/career.html,career,Tool page target
unused,career clarity quiz,informational,medium,low,/career.html,career,Tool page target
unused,stuck in wrong job,informational,high,low,/blog/you-are-not-lazy-you-are-afraid.html,unstuck,WRITTEN — high intent
unused,why smart people stay in wrong jobs,informational,medium,very_low,/blog/smart-people-wrong-jobs.html,unstuck,WRITTEN — unique angle
unused,fear of changing careers,informational,high,low,/blog/fear-of-starting-over.html,unstuck,WRITTEN
unused,how to stop being stuck in life,informational,high,medium,/blog/you-are-not-lazy-you-are-afraid.html,unstuck,WRITTEN
unused,entrepreneur readiness test,informational,medium,low,/entrepreneur.html,entrepreneur,Tool page target
unused,business idea validation checklist,informational,medium,medium,/ideas.html,ideas,Tool page target
unused,idea validation score,informational,low,very_low,/blog/ideas-validator-score-guide.html,ideas,NOT WRITTEN YET
unused,stress pattern quiz,informational,medium,low,/stress.html,stress,Tool page target
unused,marriage health assessment,informational,medium,low,/marriage.html,marriage,Tool page target
unused,husband wife assessment,informational,low,very_low,/marriage.html,marriage,Unique angle
unused,marriage score meaning,informational,low,very_low,/blog/marriage-score-interpretation.html,marriage,WRITTEN
unused,low emotional connection marriage,informational,medium,low,/blog/low-emotional-connection-marriage.html,marriage,NOT WRITTEN YET
unused,self discovery assessment,informational,medium,medium,/,brand,Homepage target
unused,know yourself quiz,informational,high,medium,/,brand,Homepage target
